type,value
Environmental,0.159104607
Environmental,0.098114431
Environmental,0.278523644
Environmental,0.355351652
Environmental,0.230990871
Environmental,0.487922407
Environmental,0.322969185
Government_Management,0.246591456
Government_Management,0.398084023
Government_Management,0.290946735
Government_Management,0.634737889
Government_Management,0.393015298
Government_Management,0.060697069
Government_Management,0.252502078
Government_Management,0.467947818
Government_Management,0.274201965
Government_Management,0.2153428
Government_Management,0.400398105
Government_Management,0.306148522
Government_Management,0.102723853
Government_Management,0.482963614
Government_Management,0.022991036
Government_Management,0.248874185
Government_Management,0.102106563
Government_Management,0.003364971
Government_Management,0.417412937
Government_Management,0.589073728
Government_Management,0.442622587
Government_Management,0.265675257
Government_Management,0.300167759
Government_Management,0.438979648
Government_Management,0.418405881
Government_Management,0.190461358
Government_Management,0.386700535
Government_Management,0.421630992
Government_Management,0.484563285
Government_Management,0.200956735
Government_Management,0.559419739
Government_Management,0.313015523
Government_Management,0.535805606
Government_Management,0.414999562
Government_Management,0.217979691
Government_Management,0.283657125
Government_Management,0.439625426
Government_Management,0.003769046
Government_Management,0.068298981
Government_Management,0.230906716
Government_Management,0.597490744
Government_Management,0.061704377
Government_Management,0.444651856
Government_Management,0.585016096
Government_Management,0.707888945
Government_Management,0.557428561
Government_Management,0.566803498
Government_Management,0.415710417
Government_Management,0.223140055
Government_Management,0.315016653
Government_Management,0.123285348
Government_Management,0.407636377
Government_Management,0.080880046
Government_Management,0.163163939
Government_Management,0.259800037
Government_Management,0.370765436
Government_Management,0.312331999
Government_Management,0.528742762
Government_Management,0.130032314
Government_Management,0.24075625
Government_Management,0.121525313
Government_Management,0.680501185
Government_Management,0.240451237
Government_Management,0.465882046
Government_Management,0.430905076
Government_Management,0.127805614
Government_Management,0.439479906
Government_Management,0.62824941
Government_Management,0.430199774
Government_Management,0.340040811
Government_Management,0.45022048
Government_Management,0.673214136
Government_Management,0.073271827
Government_Management,0.276467715
Government_Management,0.634867466
Government_Management,0.130251872
Government_Management,0.566448327
Government_Management,0.134500301
Government_Management,0.38530683
Government_Management,0.488720084
Government_Management,0.003549091
Government_Management,0.235066106
Government_Management,0.499279223
Government_Management,0.179838535
Government_Management,0.171420437
Government_Management,0.542522742
Government_Management,0.047855157
Government_Management,0.381206246
Government_Management,0.740621161
Government_Management,0.131143549
Government_Management,0.125297787
Government_Management,0.256868634
Government_Management,0.496244991
Government_Management,0.164163731
Government_Management,0.317285199
Government_Management,0.385992627
Government_Management,0.182634776
Government_Management,0.674034072
Government_Management,0.293078576
Government_Management,0.239932096
Government_Shareholders,0.707305624
Government_Shareholders,0.321364176
Government_Shareholders,0.359354405
Government_Shareholders,0.253247337
Government_Shareholders,0.476608476
Government_Shareholders,0.485337422
Government_Shareholders,0.216313582
Government_Shareholders,0.525881755
Government_Shareholders,0.376884223
Government_Shareholders,0.329043375
Government_Shareholders,0.088212116
Government_Shareholders,0.337705504
Government_Shareholders,0.346951847
Government_Shareholders,0.034918235
Government_Shareholders,0.526494581
Government_Shareholders,0.244679386
Government_Shareholders,0.725935381
Government_Shareholders,0.610970577
Government_Shareholders,0.383801493
Government_Shareholders,0.20546799
Government_Shareholders,0.165882834
Government_Shareholders,0.038182158
Government_Shareholders,0.446832244
Government_Shareholders,0.341498511
Government_Shareholders,0.490019074
Government_Shareholders,0.355235196
Government_Shareholders,0.282116682
Government_Shareholders,0.569000874
Government_Shareholders,0.357401342
Government_Shareholders,0.186660696
Government_Shareholders,0.375661554
Government_Shareholders,0.076889339
Government_Shareholders,0.113426974
Government_Shareholders,0.36482441
Government_Shareholders,0.049475294
Government_Shareholders,0.373019303
Government_Shareholders,0.250829445
Government_Shareholders,0.649069014
Government_Shareholders,0.913138724
Government_Shareholders,0.377329953
Government_Shareholders,0.175353588
Government_Shareholders,0.006800952
Government_Shareholders,0.430541948
Government_Shareholders,0.372142898
Government_Shareholders,0.059037407
Government_Shareholders,0.223565094
Government_Shareholders,0.075396619
Government_Shareholders,0.436609641
Government_Shareholders,0.770772918
Government_Shareholders,0.572416956
Government_Shareholders,0.533239886
Government_Shareholders,0.447718688
Government_Shareholders,0.905108633
Government_Shareholders,0.537461155
Government_Shareholders,0.240633886
Government_Shareholders,0.33343282
Government_Shareholders,0.047860526
Government_Shareholders,0.397503068
Government_Shareholders,0.714795423
Government_Shareholders,0.132383756
Government_Shareholders,0.408550764
Government_Shareholders,0.204082724
Government_Shareholders,0.292069603
Government_Shareholders,0.095808203
Government_Shareholders,0.161491117
Government_Shareholders,0.194787441
Government_Shareholders,0.354119696
Government_Shareholders,0.245805469
Government_Shareholders,0.13465127
Government_Shareholders,0.163931908
Government_Shareholders,0.303171891
Government_Shareholders,0.214607711
Government_Shareholders,0.038371173
Government_Shareholders,0.356864285
Government_Shareholders,0.104761224
Government_Shareholders,0.127064855
Government_Shareholders,0.134724827
Government_Shareholders,0.39765066
Government_Shareholders,0.425542449
Government_Shareholders,0.31822732
Government_Shareholders,0.426774759
Government_Shareholders,0.145944779
Government_Shareholders,0.106592106
Government_Shareholders,0.196191818
Government_Shareholders,0.059210798
Government_Shareholders,0.452429416
Government_Shareholders,0.264920729
Government_Shareholders,0.080887959
Government_Shareholders,0.091574979
Government_Shareholders,0.348810936
Government_Shareholders,0.514777585
Government_Shareholders,0.249678404
Government_Shareholders,0.097168315
Government_Shareholders,0.394075039
Government_Shareholders,0.230338278
Government_Shareholders,0.222087084
Government_Shareholders,0.087972502
Government_Shareholders,0.283604497
Government_Shareholders,0.510152149
Government_Shareholders,0.611226097
Government_CSR,0.046102921
Government_CSR,0.2805518
Government_CSR,0.34969886
Government_CSR,0.112014773
Government_CSR,0.130376226
Government_CSR,0.45396551
Government_CSR,0.53118434
Government_CSR,0.006170427
Government_CSR,0.348913813
Government_CSR,0.455613825
Government_CSR,0.511389779
Government_CSR,0.356145974
Government_CSR,0.5503243
Government_CSR,0.482118151
Government_CSR,0.450514383
Government_CSR,0.506446428
Government_CSR,0.171958056
Government_CSR,0.385664452
Government_CSR,0.198785569
Government_CSR,0.205458282
Government_CSR,0.391494579
Government_CSR,0.696142585
Government_CSR,0.252999997
Government_CSR,0.219521841
Government_CSR,0.091575046
Government_CSR,0.454303446
Government_CSR,0.331182783
Government_CSR,0.009368134
Government_CSR,0.158035373
Government_CSR,0.61238257
Government_CSR,0.064918707
Government_CSR,0.610095138
Government_CSR,0.350767421
Government_CSR,0.220176028
Government_CSR,0.732545015
Government_CSR,0.343323572
Government_CSR,0.309545129
Government_CSR,0.34716194
Government_CSR,0.018562295
Government_CSR,0.391763331
Government_CSR,0.227155668
Government_CSR,0.931494671
Government_CSR,0.124806195
Government_CSR,0.042841006
Government_CSR,0.233073648
Government_CSR,0.219006345
Government_CSR,0.357799883
Government_CSR,0.147679942
Government_CSR,0.006087027
Government_CSR,0.11256639
Government_CSR,0.343474766
Government_CSR,0.144644936
Government_CSR,0.014011321
Government_CSR,0.299374905
Government_CSR,0.499566076
Government_CSR,0.295801744
Government_CSR,0.639807475
Government_CSR,0.07375417
Government_CSR,0.155172262
Government_CSR,0.626859994
Government_CSR,0.469923924
Government_CSR,0.115416091
Government_CSR,0.46747916
Government_CSR,0.438309752
Government_CSR,0.407603807
Government_CSR,0.677406945
Government_CSR,0.206400398
Government_CSR,0.125945122
Government_CSR,0.435148956
Government_CSR,0.496027281
Government_CSR,0.246607629
Government_CSR,0.112178153
Government_CSR,0.888357
Government_CSR,0.366668
Government_CSR,0.26037131
Government_CSR,0.742683273
Government_CSR,0.298826846
Government_CSR,0.467849039
Government_CSR,0.189150721
Government_CSR,0.193052596
Government_CSR,0.56967615
Government_CSR,0.618989115
Government_CSR,0.394128671
Government_CSR,0.623969647
Government_CSR,0.769368765
Government_CSR,0.005047842
Government_CSR,0.687224113
Government_CSR,0.537905795
Government_CSR,0.167803859
Government_CSR,0.520045515
Government_CSR,0.359924628
Government_CSR,0.493452963
Government_CSR,0.406586694
Government_CSR,0.44176123
Government_CSR,0.452376523
Government_CSR,0.391920288
Government_CSR,0.729392722
Government_CSR,0.042361431
Government_CSR,0.196769275
Government_CSR,0.148841807
Social_Workforce,0.506443771
Social_Workforce,0.259405423
Social_Workforce,0.292027856
Social_Workforce,0.065774247
Social_Workforce,0.334481174
Social_Workforce,0.324043161
Social_Workforce,0.291429631
Social_Workforce,0.077389942
Social_Workforce,0.292629824
Social_Workforce,0.260330111
Social_Workforce,0.130085781
Social_Workforce,0.333728323
Social_Workforce,0.527764833
Social_Workforce,0.331139572
Social_Workforce,0.304350785
Social_Workforce,0.576019065
Social_Workforce,0.275717595
Social_Workforce,0.510537585
Social_Workforce,0.030258099
Social_Workforce,0.087333371
Social_Workforce,0.202364874
Social_Workforce,0.130246722
Social_Workforce,0.386494822
Social_Workforce,0.318217933
Social_Workforce,0.144158506
Social_Workforce,0.430770637
Social_Workforce,0.186284584
Social_Workforce,0.332979597
Social_Workforce,0.287658277
Social_Workforce,0.116180799
Social_Workforce,0.280754287
Social_Workforce,0.143112907
Social_Workforce,0.367287194
Social_Workforce,0.357862737
Social_Workforce,0.029277607
Social_Workforce,0.626437803
Social_Workforce,0.055888313
Social_Workforce,0.313139684
Social_Workforce,0.224822446
Social_Workforce,0.024022716
Social_Workforce,0.049941926
Social_Workforce,0.405082533
Social_Workforce,0.10330783
Social_Workforce,0.162644548
Social_Workforce,0.250988244
Social_Workforce,0.305297184
Social_Workforce,0.319828497
Social_Workforce,0.076094122
Social_Workforce,0.327662112
Social_Workforce,0.312118379
Social_Workforce,0.106411849
Social_Workforce,0.149477671
Social_Workforce,0.257097053
Social_Workforce,0.502550626
Social_Workforce,0.204776589
Social_Workforce,0.499449201
Social_Workforce,0.436926354
Social_Workforce,0.204402324
Social_Workforce,0.1920406
Social_Workforce,0.177480041
Social_Workforce,0.264608573
Social_Workforce,0.030645568
Social_Workforce,0.241226479
Social_Workforce,0.315723133
Social_Workforce,0.354589959
Social_Workforce,0.336554423
Social_Workforce,0.311638927
Social_Workforce,0.342705378
Social_Workforce,0.553520668
Social_Workforce,0.247814097
Social_Workforce,0.345095356
Social_Workforce,0.270018057
Social_Workforce,0.142957026
Social_Workforce,0.226423482
Social_Workforce,0.194062387
Social_Workforce,0.066853752
Social_Workforce,0.212119539
Social_Workforce,0.154745708
Social_Workforce,0.554070887
Social_Workforce,0.308083637
Social_Workforce,0.128387197
Social_Workforce,0.125182792
Social_Workforce,0.351351502
Social_Workforce,0.266965969
Social_Workforce,0.276870366
Social_Workforce,0.306186366
Social_Workforce,0.298260477
Social_Workforce,0.258084196
Social_Workforce,0.297394544
Social_Workforce,0.035612884
Social_Workforce,0.173012967
Social_Workforce,0.074685892
Social_Workforce,0.223687589
Social_Workforce,0.179670536
Social_Workforce,0.290322333
Social_Workforce,0.296528853
Social_Workforce,0.040311054
Social_Workforce,0.076262697
Social_Workforce,0.303992425
Social_Workforce,0.209819027
Social_Human rights,0.192015197
Social_Human rights,0.185303681
Social_Human rights,0.391709361
Social_Human rights,0.337002351
Social_Human rights,0.243006358
Social_Human rights,0.115482063
Social_Human rights,0.265775707
Social_Human rights,0.212117362
Social_Human rights,0.040062675
Social_Human rights,0.094456541
Social_Human rights,0.07512944
Social_Human rights,0.335855704
Social_Human rights,0.088766674
Social_Human rights,0.438831096
Social_Human rights,0.335016959
Social_Human rights,0.072263255
Social_Human rights,0.126297115
Social_Human rights,0.149899791
Social_Human rights,0.055221857
Social_Human rights,0.236965389
Social_Human rights,0.033673902
Social_Human rights,0.010603957
Social_Human rights,0.322694483
Social_Human rights,0.224090649
Social_Human rights,0.166777568
Social_Human rights,0.103875825
Social_Human rights,0.002391897
Social_Human rights,0.37886735
Social_Human rights,0.10928801
Social_Human rights,0.824243538
Social_Human rights,0.101636243
Social_Human rights,0.170591276
Social_Human rights,0.053559674
Social_Human rights,0.057192489
Social_Human rights,0.348825789
Social_Human rights,0.201994586
Social_Human rights,0.61253307
Social_Human rights,0.063862966
Social_Human rights,0.481853154
Social_Human rights,0.319232363
Social_Human rights,0.358854917
Social_Human rights,0.374276596
Social_Human rights,0.303322902
Social_Human rights,0.304948569
Social_Human rights,0.200195765
Social_Human rights,0.463313595
Social_Human rights,0.150194057
Social_Human rights,0.471852561
Social_Human rights,0.018948855
Social_Human rights,0.319577307
Social_Human rights,0.162408585
Social_Human rights,0.123879873
Social_Human rights,0.245634064
Social_Human rights,0.391588354
Social_Human rights,0.081300088
Social_Human rights,0.115156947
Social_Human rights,0.347790515
Social_Human rights,0.035556718
Social_Human rights,0.348344961
Social_Human rights,0.089733254
Social_Human rights,0.367994207
Social_Human rights,0.494143536
Social_Human rights,0.106600537
Social_Human rights,0.118829118
Social_Human rights,0.346429312
Social_Human rights,0.033268378
Social_Human rights,0.152040512
Social_Human rights,0.253420998
Social_Human rights,0.110210149
Social_Human rights,0.289267817
Social_Human rights,0.188300401
Social_Human rights,0.435743542
Social_Human rights,0.211353766
Social_Human rights,0.260698584
Social_Human rights,0.191912022
Social_Human rights,0.454857708
Social_Human rights,0.355570234
Social_Human rights,0.244439467
Social_Human rights,0.027843292
Social_Human rights,0.294591885
Social_Human rights,0.458132298
Social_Human rights,0.178796694
Social_Human rights,0.267048086
Social_Human rights,0.198376388
Social_Human rights,0.433761298
Social_Human rights,0.000162982
Social_Human rights,0.320670613
Social_Human rights,0.06122661
Social_Human rights,0.05226368
Social_Human rights,0.576047604
Social_Human rights,0.08917671
Social_Human rights,0.174675702
Social_Human rights,0.122785403
Social_Human rights,0.418176005
Social_Human rights,0.174141869
Social_Human rights,0.139235666
Social_Human rights,0.241801597
Social_Human rights,0.205263102
Social_Human rights,0.147960847
Social_Human rights,0.06061459
Social_Community,0.249735363
Social_Community,0.347941006
Social_Community,0.197787868
Social_Community,0.298428052
Social_Community,0.324719803
Social_Community,0.021676536
Social_Community,0.324463768
Social_Community,0.249180648
Social_Community,0.326865821
Social_Community,0.590417537
Social_Community,0.418232713
Social_Community,0.043590634
Social_Community,0.205798079
Social_Community,0.145665318
Social_Community,0.347928067
Social_Community,0.11181317
Social_Community,0.447827537
Social_Community,0.295483898
Social_Community,0.439772695
Social_Community,0.30053505
Social_Community,0.183817317
Social_Community,0.357262902
Social_Community,0.085891265
Social_Community,0.19943921
Social_Community,0.445958977
Social_Community,0.328077795
Social_Community,0.44490549
Social_Community,0.149247911
Social_Community,0.274759156
Social_Community,0.023061444
Social_Community,0.196022715
Social_Community,0.241951804
Social_Community,0.213676044
Social_Community,0.182067254
Social_Community,0.449823737
Social_Community,0.087966875
Social_Community,0.226094174
Social_Community,0.561220366
Social_Community,0.12646493
Social_Community,0.344918601
Social_Community,0.173533623
Social_Community,0.004591712
Social_Community,0.444040375
Social_Community,0.377491647
Social_Community,0.198483479
Social_Community,0.228401575
Social_Community,0.386576977
Social_Community,0.165308904
Social_Community,0.25456627
Social_Community,0.000589169
Social_Community,0.440638671
Social_Community,0.504231555
Social_Community,0.329746348
Social_Community,0.054095588
Social_Community,0.317914211
Social_Community,0.064067943
Social_Community,0.096040091
Social_Community,0.367401297
Social_Community,0.143982364
Social_Community,0.464045465
Social_Community,0.084825323
Social_Community,0.050073976
Social_Community,0.533145459
Social_Community,0.259240872
Social_Community,0.105085221
Social_Community,0.38434941
Social_Community,0.226021758
Social_Community,0.169608434
Social_Community,0.274068766
Social_Community,0.266769616
Social_Community,0.140789958
Social_Community,0.086347549
Social_Community,0.107977247
Social_Community,0.32872761
Social_Community,0.276417364
Social_Community,0.378204892
Social_Community,0.386311877
Social_Community,0.450780583
Social_Community,0.12045493
Social_Community,0.109670752
Social_Community,0.234789217
Social_Community,0.271356392
Social_Community,0.086433559
Social_Community,0.196268894
Social_Community,0.251780356
Social_Community,0.390737759
Social_Community,0.12574382
Social_Community,0.340028923
Social_Community,0.433132778
Social_Community,0.073038408
Social_Community,0.5773683
Social_Community,0.354456685
Social_Community,0.30256949
Social_Community,0.310314454
Social_Community,0.252999695
Social_Community,0.348368684
Social_Community,0.3730923
Social_Community,0.709566403
Social_Community,0.219273938
Social_Community,0.477244478
Social_Responsibility,0.051805669
Social_Responsibility,0.20734989
Social_Responsibility,0.118474915
Social_Responsibility,0.29879535
Social_Responsibility,0.097792665
Social_Responsibility,0.538798239
Social_Responsibility,0.118330893
Social_Responsibility,0.461312048
Social_Responsibility,0.34044168
Social_Responsibility,0.054795811
Social_Responsibility,0.376552066
Social_Responsibility,0.286825339
Social_Responsibility,0.177670414
Social_Responsibility,0.084364013
Social_Responsibility,0.012704189
Social_Responsibility,0.23990451
Social_Responsibility,0.150157754
Social_Responsibility,0.044078726
Social_Responsibility,0.474747349
Social_Responsibility,0.37516619
Social_Responsibility,0.580143907
Social_Responsibility,0.501886418
Social_Responsibility,0.20491943
Social_Responsibility,0.258252207
Social_Responsibility,0.243104949
Social_Responsibility,0.137275743
Social_Responsibility,0.366418029
Social_Responsibility,0.138905142
Social_Responsibility,0.328294557
Social_Responsibility,0.036514219
Social_Responsibility,0.421586755
Social_Responsibility,0.444344013
Social_Responsibility,0.365477088
Social_Responsibility,0.402877519
Social_Responsibility,0.172072867
Social_Responsibility,0.083600737
Social_Responsibility,0.105484444
Social_Responsibility,0.061776983
Social_Responsibility,0.16685947
Social_Responsibility,0.31182632
Social_Responsibility,0.417669534
Social_Responsibility,0.21604916
Social_Responsibility,0.149328893
Social_Responsibility,0.154915237
Social_Responsibility,0.350332512
Social_Responsibility,0.002987646
Social_Responsibility,0.14340047
Social_Responsibility,0.286744413
Social_Responsibility,0.398822763
Social_Responsibility,0.367715145
Social_Responsibility,0.290540895
Social_Responsibility,0.222410902
Social_Responsibility,0.167522535
Social_Responsibility,0.051765432
Social_Responsibility,0.396009112
Social_Responsibility,0.321325909
Social_Responsibility,0.119243041
Social_Responsibility,0.392639662
Social_Responsibility,0.315632076
Social_Responsibility,0.268741239
Social_Responsibility,0.282571897
Social_Responsibility,0.42513692
Social_Responsibility,0.119027524
Social_Responsibility,0.306206877
Social_Responsibility,0.193895508
Social_Responsibility,0.245827788
Social_Responsibility,0.310298804
Social_Responsibility,0.23426519
Social_Responsibility,0.062200417
Social_Responsibility,0.19614847
Social_Responsibility,0.325814285
Social_Responsibility,0.207890852
Social_Responsibility,0.537711961
Social_Responsibility,0.184150324
Social_Responsibility,0.337608228
Social_Responsibility,0.100083649
Social_Responsibility,0.045998349
Social_Responsibility,0.150034243
Social_Responsibility,0.297630891
Social_Responsibility,0.287653726
Social_Responsibility,0.178691287
Social_Responsibility,0.424664122
Social_Responsibility,0.295166853
Social_Responsibility,0.338388749
Social_Responsibility,0.03758798
Social_Responsibility,0.302912892
Social_Responsibility,0.25532509
Social_Responsibility,0.340660271
Social_Responsibility,0.217208999
Social_Responsibility,0.315301105
Social_Responsibility,0.160442023
Social_Responsibility,0.396181721
Social_Responsibility,0.350957517
Social_Responsibility,0.091839005
Social_Responsibility,0.282536103
Social_Responsibility,0.215866797
Social_Responsibility,0.344795048
Social_Responsibility,0.008907798
Social_Responsibility,0.32877279
Social_Responsibility,0.252321905
Environmental_Resource,0.461517664
Environmental_Resource,0.237861958
Environmental_Resource,0.430772367
Environmental_Resource,0.071186473
Environmental_Resource,0.258437473
Environmental_Resource,0.461323474
Environmental_Resource,0.3971367
Environmental_Resource,0.316476248
Environmental_Resource,0.375645933
Environmental_Resource,0.723114984
Environmental_Resource,0.077905754
Environmental_Resource,0.579169567
Environmental_Resource,0.173213984
Environmental_Resource,0.297147846
Environmental_Resource,0.292857988
Environmental_Resource,0.341341433
Environmental_Resource,0.076906927
Environmental_Resource,0.37117104
Environmental_Resource,0.447831075
Environmental_Resource,0.549838515
Environmental_Resource,0.35917182
Environmental_Resource,0.25550343
Environmental_Resource,0.660001562
Environmental_Resource,0.13704258
Environmental_Resource,0.310416435
Environmental_Resource,0.200911464
Environmental_Resource,0.595289973
Environmental_Resource,0.348123599
Environmental_Resource,0.278815951
Environmental_Resource,0.013528496
Environmental_Resource,0.292057658
Environmental_Resource,0.3338044
Environmental_Resource,0.420837861
Environmental_Resource,0.210526432
Environmental_Resource,0.454866933
Environmental_Resource,0.24252345
Environmental_Resource,0.353062665
Environmental_Resource,0.484844542
Environmental_Resource,0.89832601
Environmental_Resource,0.04207704
Environmental_Resource,0.488065516
Environmental_Resource,0.513301383
Environmental_Resource,0.178704449
Environmental_Resource,0.447492972
Environmental_Resource,0.381206452
Environmental_Resource,0.455448222
Environmental_Resource,0.498658382
Environmental_Resource,0.284611047
Environmental_Resource,0.404908623
Environmental_Resource,0.775187998
Environmental_Resource,0.077625345
Environmental_Resource,0.193894364
Environmental_Resource,0.532604846
Environmental_Resource,0.126759907
Environmental_Resource,0.339572121
Environmental_Resource,0.195221844
Environmental_Resource,0.306838904
Environmental_Resource,0.382425661
Environmental_Resource,0.456842506
Environmental_Resource,0.449156485
Environmental_Resource,0.311321434
Environmental_Resource,0.442037308
Environmental_Resource,0.345455432
Environmental_Resource,0.399621452
Environmental_Resource,0.136143157
Environmental_Resource,0.323943176
Environmental_Resource,0.276680268
Environmental_Resource,0.282562931
Environmental_Resource,0.118600697
Environmental_Resource,0.603011589
Environmental_Resource,0.132744585
Environmental_Resource,0.251971695
Environmental_Resource,0.135002812
Environmental_Resource,0.292185469
Environmental_Resource,0.26965573
Environmental_Resource,0.434170444
Environmental_Resource,0.06313993
Environmental_Resource,0.0976247
Environmental_Resource,0.474421225
Environmental_Resource,0.457960903
Environmental_Resource,0.100786053
Environmental_Resource,0.390158143
Environmental_Resource,0.470529752
Environmental_Resource,0.187906321
Environmental_Resource,0.388122444
Environmental_Resource,0.342651762
Environmental_Resource,0.592187504
Environmental_Resource,0.41372317
Environmental_Resource,0.405003103
Environmental_Resource,0.097929815
Environmental_Resource,0.229974662
Environmental_Resource,0.198371753
Environmental_Resource,0.380697587
Environmental_Resource,0.391880465
Environmental_Resource,0.067390815
Environmental_Resource,0.363766182
Environmental_Resource,0.297842896
Environmental_Resource,0.276598399
Environmental_Resource,0.268448591
Environmental_Resource,0.460579641
Environmental_Emissions,0.33487576
Environmental_Emissions,0.21842258
Environmental_Emissions,0.562285816
Environmental_Emissions,0.86658763
Environmental_Emissions,0.394654644
Environmental_Emissions,0.097899145
Environmental_Emissions,0.185373722
Environmental_Emissions,0.418388144
Environmental_Emissions,0.220468224
Environmental_Emissions,0.241189901
Environmental_Emissions,0.458499182
Environmental_Emissions,0.101586465
Environmental_Emissions,0.57805009
Environmental_Emissions,0.109003738
Environmental_Emissions,0.342124722
Environmental_Emissions,0.285212026
Environmental_Emissions,0.633828976
Environmental_Emissions,0.401821639
Environmental_Emissions,0.337734038
Environmental_Emissions,0.363683906
Environmental_Emissions,0.254163031
Environmental_Emissions,0.233166544
Environmental_Emissions,0.233392373
Environmental_Emissions,0.744173675
Environmental_Emissions,0.309781449
Environmental_Emissions,0.316377977
Environmental_Emissions,0.227757147
Environmental_Emissions,0.565729574
Environmental_Emissions,0.325681496
Environmental_Emissions,0.547826784
Environmental_Emissions,0.525054685
Environmental_Emissions,0.009318925
Environmental_Emissions,0.377077431
Environmental_Emissions,0.045721979
Environmental_Emissions,0.47299921
Environmental_Emissions,0.246127736
Environmental_Emissions,0.246365423
Environmental_Emissions,0.390693761
Environmental_Emissions,0.051426783
Environmental_Emissions,0.411287142
Environmental_Emissions,0.418253201
Environmental_Emissions,0.387487206
Environmental_Emissions,0.442006716
Environmental_Emissions,0.241825855
Environmental_Emissions,0.464704559
Environmental_Emissions,0.093438801
Environmental_Emissions,0.095938189
Environmental_Emissions,0.392621721
